trial_count,1,2,3,4,5,6
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,
experiment_version, , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,
trialType_order,testing,testing,testing,testing,testing,testing
scoreRule_order,,,,,,
attempts,461,461,461,461,461,461
CUREC_ID,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version,5.0,5.0,5.0,5.0,5.0,5.0
CUREC_date,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version,1.0,1.0,1.0,1.0,1.0,1.0
PIS_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged,,,,,,
consent_version,1.0,1.0,1.0,1.0,1.0,1.0
consent_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented,,,,,,
age,,,,,,
gender,,,,,,
handedness,,,,,,
demographicsRTs,,,,,,
demographics_duration,0,0,0,0,0,0
dots_accuracy,67,67,67,100,100,100
dots_isTutorialMode,,,,,,
dots_staircase,,,,,,
dots_majoritySide,right,left,right,right,right,right
dots_confidences,65,56,35,53,61,65
initial_choices,correct,correct,false,correct,false,false
partner_confidences,50,50,50,80,68,79
dots_pairs,[200,300],[300,200],[200,267],[200,300],[200,300],[200,282]
dots_isCorrect,true,true,false,true,true,true
dots_jointCorrect,,,,true,true,true
dots_RTs,47749,653,290,601,414,423
dots_waitTimes,50939,2568,2021,3928,3766,3899
technical_issues,,,,,,
feedback_strategy,,,,,,
feedback_technical,,,,,,
feedback_comments,,,,,,
debriefing,,,,,,
feedback_ratings,,,,,,
