trial_count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,,,,,,,,,,,,,
experiment_version, , , , , , , , , , , , , , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,,,,,,,,,,,,,
trialType_order,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing
scoreRule_order,,,,,,,,,,,,,,,,,,
attempts,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
CUREC_ID,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CUREC_date,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PIS_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged,,,,,,,,,,,,,,,,,,
consent_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
consent_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented,,,,,,,,,,,,,,,,,,
age,,,,,,,,,,,,,,,,,,
gender,,,,,,,,,,,,,,,,,,
handedness,,,,,,,,,,,,,,,,,,
demographicsRTs,,,,,,,,,,,,,,,,,,
demographics_duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dots_accuracy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
dots_staircase,,,,,,,,,,,,,,,,,,
dots_majoritySide,right,left,right,right,left,right,left,right,right,right,left,right,right,left,left,right,right,right
dots_confidences,64,63,66,57,62,37,60,63,40,62,64,56,34,62,53,61,61,41
initial_choices,false,correct,false,false,correct,false,correct,false,false,false,correct,false,false,correct,correct,false,false,false
partner_confidences,50,50,50,82,70,63,89,83,75,88,91,85,66,65,62,69,78,68
dots_pairs,[200,300],[300,200],[200,267],[200,267],[245,200],[200,245],[255,200],[200,255],[200,245],[200,255],[255,200],[200,250],[200,250],[255,200],[255,200],[200,250],[200,250],[200,245]
dots_isCorrect,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false
dots_jointCorrect,,,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
dots_RTs,436,264,259,345,310,271,299,461,289,350,450,300,312,261,313,318,259,269
dots_waitTimes,2564,2446,2282,3186,2896,2629,2715,3300,2809,2736,3046,2738,2773,2654,2721,3502,3018,2565
technical_issues,,,,,,,,,,,,,,,,,,
feedback_strategy,,,,,,,,,,,,,,,,,,
feedback_technical,,,,,,,,,,,,,,,,,,
feedback_comments,,,,,,,,,,,,,,,,,,
debriefing,,,,,,,,,,,,,,,,,,
feedback_ratings,,,,,,,,,,,,,,,,,,
