trial_count,1,2,3,4,5,6
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,
experiment_version, , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,
trialType_order,testing,testing,testing,testing,testing,testing
scoreRule_order,,,,,,
attempts,468,468,468,468,468,468
CUREC_ID,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version,5.0,5.0,5.0,5.0,5.0,5.0
CUREC_date,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version,1.0,1.0,1.0,1.0,1.0,1.0
PIS_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged,,,,,,
consent_version,1.0,1.0,1.0,1.0,1.0,1.0
consent_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented,,,,,,
age,,,,,,
gender,,,,,,
handedness,,,,,,
demographicsRTs,,,,,,
demographics_duration,0,0,0,0,0,0
dots_accuracy,100,100,100,100,100,100
dots_staircase,100,100,67.03200460356392,67.03200460356392,100,100
dots_majoritySide,right,left,right,right,right,left
dots_confidences,56,68,66,34,64,66
initial_choices,false,correct,false,false,false,correct
partner_confidences,50,77,88,81,60,55
dots_pairs,[200,300],[300,200],[200,267],[200,267],[200,300],[300,200]
dots_isCorrect,true,true,true,false,true,true
dots_jointCorrect,,true,true,true,true,true
dots_RTs,400,347,660,604,340,595
dots_waitTimes,2750,3870,3650,4296,3564,3472
technical_issues,true,true,true,true,true,true
feedback_strategy,,,,,,
feedback_technical,k;,k;,k;,k;,k;,k;
feedback_comments,knkl,knkl,knkl,knkl,knkl,knkl
debriefing,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged
feedback_ratings,,,,,,
dots_overallAccuracy,50,50,50,50,50,50
bonus_earned,0,0,0,0,0,0
date_completed,14:34:20 GMT+0000 (Greenwich Mean Time),14:34:20 GMT+0000 (Greenwich Mean Time),14:34:20 GMT+0000 (Greenwich Mean Time),14:34:20 GMT+0000 (Greenwich Mean Time),14:34:20 GMT+0000 (Greenwich Mean Time),14:34:20 GMT+0000 (Greenwich Mean Time)
duration,1:07,1:07,1:07,1:07,1:07,1:07
