trial_count,1,2,3,4,5,6,7,8,9,10,11
block_count,1,2,2,3,3,4,4,,,,
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,,,,,,
experiment_version, , , , , , , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,,,,,,
trialType_order,all,all,all,all,all,all,all,all,all,all,all
scoreRule_order,,,,,,,,,,,
attempts,471,471,471,471,471,471,471,471,471,471,471
CUREC_ID,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CUREC_date,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PIS_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged,true,true,true,true,true,true,true,true,true,true,true
consent_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
consent_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented,true,true,true,true,true,true,true,true,true,true,true
age,18,18,18,18,18,18,18,18,18,18,18
gender,female,female,female,female,female,female,female,female,female,female,female
handedness,left,left,left,left,left,left,left,left,left,left,left
demographicsRTs,5807,3945,3945,3817,3817,,,,,,
demographics_duration,13573,13573,13573,13573,13573,13573,13573,13573,13573,13573,13573
dots_accuracy,100,100,100,100,100,100,100,100,100,100,100
dots_staircase,100,100,100,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,100,100,100,100
dots_majoritySide,right,left,right,right,right,left,left,left,right,right,left
dots_confidences,63,54,56,42,68,62,68,69,66,58,62
initial_choices,false,correct,correct,false,correct,correct,correct,correct,correct,false,correct
partner_confidences,50,77,79,81,83,77,87,57,60,64,61
dots_pairs,[200,300],[300,200],[200,267],[200,267],[200,300],[300,200],[282,200],[282,200],[200,267],[200,267],[261,200]
dots_isCorrect,true,true,true,false,true,true,true,true,true,true,true
dots_jointCorrect,,true,true,true,true,true,true,true,true,true,true
dots_RTs,419,535,567,297,435,508,684,464,676,359,478
dots_waitTimes,3423,5562,3628,2999,4004,3663,3166,3801,3383,3024,3509
technical_issues,true,true,true,true,true,true,true,true,true,true,true
feedback_strategy,,,,,,,,,,,
feedback_technical,,,,,,,,,,,
feedback_comments,,,,,,,,,,,
debriefing,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged
feedback_ratings,,,,,,,,,,,
dots_overallAccuracy,64,64,64,64,64,64,64,64,64,64,64
bonus_earned,0,0,0,0,0,0,0,0,0,0,0
date_completed,14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time),14:58:53 GMT+0000 (Greenwich Mean Time)
duration,9:01,9:01,9:01,9:01,9:01,9:01,9:01,9:01,9:01,9:01,9:01
