trial_count|1,2,3
block_count|,,
subjectID|PR272584806,PR272584806,PR272584806
prolificID|,,
experiment_version| , , 
experiment_version_date|2020/02/10,2020/02/10,2020/02/10
experiment_condition|strategic version,strategic version,strategic version
trialType_order|testing,testing,testing
attempts|476,476,476
CUREC_ID|R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version|5.0,5.0,5.0
CUREC_date|2018/11/12,2018/11/12,2018/11/12
PIS_version|1.0,1.0,1.0
PIS_date|2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged|,,
consent_version|1.0,1.0,1.0
consent_date|2020/01/01,2020/01/01,2020/01/01
consented|,,
age|,,
gender|,,
handedness|,,
demographicsRTs|,,
demographics_duration|0,0,0
dots_accuracy|100,100,100
dots_staircase|,,
dots_majoritySide|right,left,right
dots_confidences|62,66,55
initial_choices|false,false,false
partner_confidences|50,77,79
dots_pairs|200,300,300,200,200,267
dots_isCorrect|true,true,true
dots_jointCorrect|,true,true
dots_RTs|322,285,584
dots_waitTimes|2589,4513,3148
technical_issues|,,
feedback_technical|,,
feedback_comments|,,
debriefing|,,
