trial_count|1,2,3,4
block_count|,,,
subjectID|PR272584806,PR272584806,PR272584806,PR272584806
prolificID|,,,
experiment_version| , , , 
experiment_version_date|2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition|strategic version,strategic version,strategic version,strategic version
trialType_order|testing,testing,testing,testing
attempts|479,479,479,479
CUREC_ID|R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version|5.0,5.0,5.0,5.0
CUREC_date|2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version|1.0,1.0,1.0,1.0
PIS_date|2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged|,,,
consent_version|1.0,1.0,1.0,1.0
consent_date|2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented|,,,
age|,,,
gender|,,,
handedness|,,,
demographicsRTs|,,,
demographics_duration|0,0,0,0
dots_accuracy|100,100,100,100
dots_staircase|,,,
dots_majoritySide|right,left,right,right
dots_confidences|64,57,61,69
initial_choices|false,correct,false,false
partner_confidences|50,50,79,70
dots_pairs|200,300,300,200,200,267,200,267
dots_isCorrect|true,true,true,true
dots_jointCorrect|,,true,true
dots_RTs|362,337,374,334
dots_waitTimes|3254,2885,3538,3490
technical_issues|,,,
feedback_technical|,,,
feedback_comments|,,,
debriefing|,,,
