trial_count|2
block_count|
subjectID|PR272584806
prolificID|
experiment_version| 
experiment_version_date|2020/02/10
experiment_condition|
trialType_order|testing
scoreRule_order|
attempts|512
CUREC_ID|R67369/RE001
CUREC_version|5.0
CUREC_date|2018/11/12
PIS_version|1.0
PIS_date|2020/01/01
PIS_acknowledged|
consent_version|1.0
consent_date|2020/01/01
consented|
age|
gender|
handedness|
demographicsRTs|
demographics_duration|0
dots_accuracy|100
dots_staircase|
dots_majoritySide|left
dots_confidences|70
initial_choices|correct
partner_confidences|50
dots_pairs|[300,200]
dots_isCorrect|true
dots_jointCorrect|
dots_RTs|521
dots_waitTimes|3613
technical_issues|
feedback_strategy|
feedback_technical|
feedback_comments|
debriefing|
feedback_ratings|
