trial_count|1|2|3|4|5|6|7|8|9|10|11|12
block_count|-1|-1|0|0|1|1|2|2|3|3||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||||||
experiment_version| | | | | | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||||||
trialType_order|all|all|all|all|all|all|all|all|all|all|all|all
scoreRule_order||||||||||||
attempts|541|541|541|541|541|541|541|541|541|541|541|541
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged|true|true|true|true|true|true|true|true|true|true|true|true
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented|true|true|true|true|true|true|true|true|true|true|true|true
age|18|18|18|18|18|18|18|18|18|18|18|18
gender|other|other|other|other|other|other|other|other|other|other|other|other
handedness|left|left|left|left|left|left|left|left|left|left|left|left
demographicsRTs|3409|3409|3960|3960|4032|4032||||||
demographics_duration|11407|11407|11407|11407|11407|11407|11407|11407|11407|11407|11407|11407
dots_accuracy|100|100|100|100|50|50|100|100|100|100|50|50
dots_staircase||||||||||||
dots_majoritySide|right|left|right|right|right|right|right|right|left|right|right|right
dots_confidences|63|69|58|64|33|68|32|76|65|64|64|36
initial_choices|false|false|correct|correct|false|correct|false|correct|correct|correct|correct|false
partner_confidences|50|50|79|70|15|85|89|83|59|65|73|60
dots_pairs|[200,300]|[300,200]|[200,267]|[200,267]|[200,245]|[200,255]|[200,255]|[200,267]|[267,200]|[200,255]|[200,255]|[200,250]
dots_isCorrect|true|true|true|true|false|true|false|true|true|true|true|false
dots_jointCorrect|||true|true|false|true|true|true|true|true|true|false
dots_RTs|399|1189|666|573|598|688|363|431|403|380|978|579
dots_waitTimes|3366|4617|4066|3991|3646|3790|3416|3563|3861|3766|4378|4394
technical_issues||||||||||||
feedback_strategy||||||||||||
feedback_technical||||||||||||
feedback_comments||||||||||||
debriefing||||||||||||
feedback_ratings||||||||||||
