Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
trial_count,1,2,3,4,5,6,7,8,9,10,11,12
block_count,-1,-1,0,0,1,1,2,2,3,3,4,4
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,,,,,,,
experiment_version, , , , , , , , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,,,,,,,
trialType_order,all,all,all,all,all,all,all,all,all,all,all,all
scoreRule_order,,,,,,,,,,,,
attempts,542,542,542,542,542,542,542,542,542,542,542,542
CUREC_ID,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CUREC_date,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PIS_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged,true,true,true,true,true,true,true,true,true,true,true,true
consent_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
consent_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented,true,true,true,true,true,true,true,true,true,true,true,true
age,20,20,20,20,20,20,20,20,20,20,20,20
gender,other,other,other,other,other,other,other,other,other,other,other,other
handedness,right,right,right,right,right,right,right,right,right,right,right,right
demographicsRTs,2221,2221,2691,2691,2777,2777,,,,,,
demographics_duration,7690,7690,7690,7690,7690,7690,7690,7690,7690,7690,7690,7690
dots_accuracy,100,100,100,100,0,0,100,100,100,100,50,50
dots_staircase,100,100,100,100,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155
dots_majoritySide,right,left,right,right,right,right,right,right,right,right,left,right
dots_confidences,67,71,61,67,64,66,71,66,70,69,36,35
initial_choices,false,correct,correct,correct,correct,correct,correct,correct,correct,correct,false,false
partner_confidences,50,50,79,70,15,18,86,83,58,66,63,67
dots_pairs,"[200,300]","[300,200]","[200,267]","[200,267]","[200,245]","[200,245]","[200,237]","[200,237]","[200,230]","[200,230]","[227,200]","[200,230]"
dots_isCorrect,true,true,true,true,true,true,true,true,true,true,false,false
dots_jointCorrect,,,true,true,false,false,true,true,true,true,false,true
dots_RTs,633,437,373,508,285,429,714,380,322,361,438,413
dots_waitTimes,2750,2570,3573,3215,2953,3294,3080,2863,3186,2929,3550,3407
technical_issues,false,false,false,false,false,false,false,false,false,false,false,false
feedback_strategy,,,,,,,,,,,,
feedback_technical,,,,,,,,,,,,
feedback_comments,,,,,,,,,,,,
debriefing,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged
feedback_ratings,,,,,,,,,,,,
dots_overallAccuracy,50,50,50,50,50,50,50,50,50,50,50,50
bonus_earned,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
date_completed,12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time),12:06:42 GMT+0000 (Greenwich Mean Time)
duration,2:02,2:02,2:02,2:02,2:02,2:02,2:02,2:02,2:02,2:02,2:02,2:02
