trial_count|1|2|3|4
block_count|0|0|0|0
subjectID|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||
experiment_version| | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||
trialType_order|testing|testing|testing|testing
scoreRule_order||||
attempts|635|635|635|635
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||
consent_version|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||
age||||
gender||||
handedness||||
demographicsRTs||||
demographics_duration|0|0|0|0
dots_accuracy|100|100|100|100
dots_staircase||||
dots_majoritySide|right|right|right|right
dots_confidences|71|69|69|67
initial_choices|correct|correct|correct|correct
partner_confidences|50|50|50|50
dots_pairs|[200,300]|[200,300]|[200,267]|[200,267]
dots_isCorrect|true|true|true|true
dots_jointCorrect||||
dots_RTs|803|612|700|1399
dots_waitTimes|6328|4825|4271|5821
technical_issues||||
feedback_strategy||||
feedback_technical||||
feedback_comments||||
debriefing||||
feedback_ratings||||
