trial_count|1|2|3|4|5|6|7|8
block_count|1|1|1|1||||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||
experiment_version| | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||
trialType_order|testing|testing|testing|testing|testing|testing|testing|testing
scoreRule_order||||||||
attempts|858|858|858|858|858|858|858|858
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||||||
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||||||
age||||||||
gender||||||||
handedness||||||||
demographicsRTs||||||||
demographics_duration|0|0|0|0|0|0|0|0
dots_accuracy|100|100|100|100|25|25|25|25
dots_staircase||||||||
dots_majoritySide|left|right|right|right|right|right|right|left
dots_confidences|66|83|68|78|14|17|58|65
initial_choices|correct|correct|correct|correct|false|false|correct|correct
partner_confidences|71.09048296200456|70.73829204357506|72.39655698506479|71.76041902793744|72.85166649216407|25.86040380279177|29.12733014947022|72.14354272587792
dots_pairs|[300,200]|[200,300]|[200,267]|[200,267]|[200,245]|[200,255]|[200,267]|[267,200]
dots_isCorrect|true|true|true|true|false|false|true|true
dots_jointCorrect|true|true|true|true|false|false|false|true
dots_RTs|460|618|480|595|523|559|691|400
dots_waitTimes|5566|5167|4773|4771|5359|5242|5581|5458
technical_issues||||||||
feedback_strategy||||||||
feedback_technical||||||||
feedback_comments||||||||
debriefing||||||||
feedback_ratings||||||||
