trial_count|1|2|3|4|5|6
block_count|1|1|1|1||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||
experiment_version| | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||
trialType_order|testing|testing|testing|testing|testing|testing
scoreRule_order||||||
attempts|872|872|872|872|872|872
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged||||||
consent_version|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented||||||
age||||||
gender||||||
handedness||||||
demographicsRTs||||||
demographics_duration|0|0|0|0|0|0
dots_accuracy|100|100|100|100|100|100
dots_staircase||||||
dots_majoritySide|left|right|left|right|left|left
dots_confidences|93|84|92|89|88|90
initial_choices|correct|correct|correct|correct|correct|correct
partner_confidences|90.97864985334678|92.90404243778877|10.546262832236899|88.51701752324631|87.59488500915478|12.120815280928575
dots_pairs|[300,200]|[200,300]|[267,200]|[200,267]|[245,200]|[245,200]
dots_isCorrect|true|true|true|true|true|true
dots_jointCorrect|true|true|true|true|true|true
dots_RTs|344|614|668|802|565|738
dots_waitTimes|5948|5128|5615|5888|5197|5349
technical_issues||||||
feedback_strategy||||||
feedback_technical||||||
feedback_comments||||||
debriefing||||||
feedback_ratings||||||
