trial_count|1|2|3|4|5|6|7|8|9|10|11|12|13|14
block_count|-1|-1|-1|-1|0|0|0|0|1|1|1|1||
subjectID|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806|PR272584806
prolificID||||||||||||||
experiment_version| | | | | | | | | | | | | | 
experiment_version_date|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10|2020/02/10
experiment_condition||||||||||||||
trialType_order|all|all|all|all|all|all|all|all|all|all|all|all|all|all
scoreRule_order||||||||||||||
attempts|903|903|903|903|903|903|903|903|903|903|903|903|903|903
CUREC_ID|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0
CUREC_date|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12|2018/11/12
PIS_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
PIS_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
PIS_acknowledged|true|true|true|true|true|true|true|true|true|true|true|true|true|true
consent_version|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
consent_date|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01|2020/01/01
consented|true|true|true|true|true|true|true|true|true|true|true|true|true|true
age|18|18|18|18|18|18|18|18|18|18|18|18|18|18
gender|male|male|male|male|male|male|male|male|male|male|male|male|male|male
handedness|left|left|left|left|left|left|left|left|left|left|left|left|left|left
demographicsRTs|3811|3811|3811|3811|4543|4543|4543|4543|4691|4691|4691|4691||
demographics_duration|13051|13051|13051|13051|13051|13051|13051|13051|13051|13051|13051|13051|13051|13051
dots_accuracy|100|100|100|100|75|75|75|75|50|50|50|50|100|100
dots_staircase||||||||||||||
dots_majoritySide|left|right|left|left|right|right|right|left|left|right|left|left|right|left
dots_confidences|||||24|64|68|73|78|35|67|88|90|13
initial_choices|correct|correct|correct|correct|false|correct|correct|correct|correct|false|correct|correct|false|false
partner_confidences|50|50|50|50|50|50|50|50|86.34427023430294|93.07643101919894|11.5069970767372|9.17354444266195|90.21970388505049|88.77699431394765
dots_pairs|[300,200]|[200,300]|[267,200]|[267,200]|[200,245]|[200,255]|[200,255]|[245,200]|[245,200]|[200,237]|[241,200]|[241,200]|[200,237]|[237,200]
dots_isCorrect|true|true|true|true|false|true|true|true|true|false|true|true|true|false
dots_jointCorrect|||||||||true|true|false|false|true|true
dots_RTs|788|627|482|507|399|910|638|603|390|669|529|613|429|317
dots_waitTimes|2107|1941|1789|1817|3726|5034|4117|3769|4739|5108|4318|5468|4704|4886
technical_issues||||||||||||||
feedback_strategy||||||||||||||
feedback_technical||||||||||||||
feedback_comments||||||||||||||
debriefing||||||||||||||
feedback_ratings||||||||||||||
