Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256
trial_count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
block_count,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment_version, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialType_order,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all
scoreRule_order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attempts,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905,905
